
===== logging start 2025-10-28 09:37:29 =====
--- Best Epoch: 3065, Loss: 3.5227e-08, IC: 3.5227e-08, Res: 2.7387e-23 ---
--- Best Epoch: 3813, Loss: 3.4840e-08, IC: 3.4736e-08, Res: 1.0456e-10 ---
--- Best Epoch: 3823, Loss: 3.4096e-08, IC: 3.4096e-08, Res: 1.9150e-32 ---
--- Best Epoch: 3829, Loss: 3.4046e-08, IC: 3.4046e-08, Res: 2.4330e-21 ---
--- Best Epoch: 3839, Loss: 3.3768e-08, IC: 3.3768e-08, Res: 1.4716e-18 ---
--- Best Epoch: 3862, Loss: 3.2798e-08, IC: 3.2798e-08, Res: 4.5094e-22 ---
--- Best Epoch: 3875, Loss: 3.2705e-08, IC: 3.2705e-08, Res: 2.5462e-26 ---
--- Best Epoch: 3878, Loss: 3.1942e-08, IC: 3.1942e-08, Res: 1.4259e-26 ---
[info] Training epoch: 4000, LR: 8.15e-04
--- Best Epoch: 4011, Loss: 3.1636e-08, IC: 3.1636e-08, Res: 1.1766e-13 ---
--- Best Epoch: 4014, Loss: 2.8817e-08, IC: 2.8817e-08, Res: 3.5801e-15 ---
